stamp (unix),duration(s),steps,distance(cm),runState(0->not,1->running),walkState(0->not,1->walking),sleepState(0->awake,1->Light,2->Deep,3->REM)
1531346520,11728,0,0,0,0,0
1531346460,60,60,43939,0,1,0
1531346400,60,44,32440,0,1,0
1531346220,180,0,0,0,0,0
1531346160,60,25,17324,0,1,0
1531346040,120,0,0,0,0,0
1531345980,60,17,11818,0,1,0
1531345500,480,0,0,0,0,0
1531345440,60,64,46972,0,1,0
1531345380,60,44,30685,0,1,0
1531345320,60,0,0,0,0,0
1531345260,60,31,21619,0,1,0
1531345200,60,92,64760,0,1,0
1531345140,60,71,50464,0,1,0
1531344540,600,0,0,0,0,0
1531344480,60,20,14745,0,1,0
1531344420,60,27,19778,0,1,0
1531344360,60,19,13362,0,1,0
1531344000,360,0,0,0,0,0
1531343940,60,10,7550,0,1,0
1531343520,420,0,0,0,0,0
1531343460,60,38,26612,0,1,0
1531343400,60,106,13048,0,1,0
1531343340,60,66,49051,0,1,0
1531343280,60,22,15417,0,1,0
1531342920,360,0,0,0,0,0
1531342860,60,40,30525,0,1,0
1531342800,60,89,62031,0,1,0
1531342740,60,31,21768,0,1,0
1531342620,120,0,0,0,0,0
1531342560,60,9,6592,0,1,0
1531340940,1620,0,0,0,0,0
1531340880,60,0,0,0,0,0
1531340280,600,0,0,0,0,0
1531340220,60,6,4184,0,1,0
1531340160,60,0,0,0,0,0
1531340100,60,18,13357,0,1,0
1531340040,60,111,13986,0,1,0
1531339980,60,84,59143,0,1,0
1531339920,60,25,17660,0,1,0
1531339680,240,0,0,0,0,0
1531339620,60,15,10650,0,1,0
1531338900,720,0,0,0,0,0
1531338840,60,25,18055,0,1,0
1531338780,60,68,50613,0,1,0
1531338720,60,55,41119,0,1,0
1531338660,60,104,11400,0,1,0
1531338600,60,104,10842,0,1,0
1531338240,360,0,0,0,0,0
1531338180,60,8,5302,0,1,0
1531337940,240,0,0,0,0,0
1531337880,60,9,6098,0,1,0
1531337700,180,0,0,0,0,0
1531337640,60,6,5502,0,1,0
1531337580,60,47,33941,0,1,0
1531336920,660,0,0,0,0,0
1531336860,60,52,37626,0,1,0
1531336800,60,39,30270,0,1,0
1531336740,60,11,7902,0,1,0
1531335660,1080,0,0,0,0,0
1531335600,60,61,43732,0,1,0
1531335540,60,50,36152,0,1,0
1531335480,60,74,52948,0,1,0
1531335420,60,40,29664,0,1,0
1531335360,60,79,58811,0,1,0
1531335300,60,9,6767,0,1,0
1531335240,60,61,44845,0,1,0
1531335180,60,42,32091,0,1,0
1531334880,300,0,0,0,0,0
1531334520,360,0,0,0,0,0
1531334460,60,57,43090,0,1,0
1531334400,60,56,41635,0,1,0
1531334340,60,59,43803,0,1,0
1531334280,60,37,27496,0,1,0
1531334220,60,10,7416,0,1,0
1531334160,60,70,50281,0,1,0
1531334100,60,31,21921,0,1,0
